county,year,yield_kg_per_acre,rainfall_mm,temp_c
Uasin Gishu,2019,1311.2,1545.0,19.5
Uasin Gishu,2020,1726.4,2231.7,18.4
Uasin Gishu,2021,1489.7,1063.3,18.8
Uasin Gishu,2022,1420.5,1244.9,19.1
Uasin Gishu,2023,1635.4,1674.6,19.1
Trans Nzoia,2019,1620.8,1381.9,17.8
Trans Nzoia,2020,1886.7,2225.8,16.8
Trans Nzoia,2021,1540.7,885.7,17.1
Trans Nzoia,2022,1449.6,1209.4,17.4
Trans Nzoia,2023,1449.6,1576.2,17.4
Narok,2019,761.2,499.2,18.8
Narok,2020,703.0,850.0,16.3
Narok,2021,932.4,464.9,17.3
Narok,2022,863.2,442.9,18.0
Narok,2023,961.6,435.4,18.2
Bungoma,2019,1351.3,1251.9,22.0
Bungoma,2020,1464.2,1711.3,20.9
Bungoma,2021,1169.2,620.3,21.6
Bungoma,2022,1209.2,884.2,22.2
Bungoma,2023,972.5,1517.6,21.8
Nakuru,2019,1132.7,651.6,15.8
Nakuru,2020,1285.7,1221.0,14.8
Nakuru,2021,1121.8,762.6,14.7
Nakuru,2022,1307.6,669.4,15.3
Nakuru,2023,1220.2,788.0,15.6
