date,year,month,maize_price_kes_per_kg,fuel_price_kes_per_litre,season_rain_mm,n_markets
2010-09,2010,9,34.07,,944.92,4
2010-10,2010,10,29.67,,944.92,3
2010-11,2010,11,32.33,,944.92,3
2010-12,2010,12,32.33,,944.92,3
2011-01,2011,1,37.25,,944.92,4
2011-02,2011,2,31.87,,944.92,3
2011-03,2011,3,39.0,,944.92,4
2011-04,2011,4,42.97,,944.92,3
2011-05,2011,5,51.65,,944.92,4
2011-06,2011,6,53.65,,944.92,4
2011-07,2011,7,58.95,,944.92,4
2011-08,2011,8,53.72,,944.92,3
2011-09,2011,9,58.44,,916.11,4
2011-10,2011,10,53.81,,916.11,2
2011-11,2011,11,56.95,,916.11,3
2011-12,2011,12,55.71,,916.11,3
2012-01,2012,1,51.42,,916.11,3
2012-02,2012,2,53.52,,916.11,4
2012-03,2012,3,47.03,,916.11,3
2012-04,2012,4,56.48,,916.11,4
2012-05,2012,5,55.73,,916.11,4
2012-06,2012,6,57.9,,916.11,4
2012-07,2012,7,59.83,,916.11,4
2012-08,2012,8,59.04,,916.11,4
2012-09,2012,9,57.07,,996.54,3
2012-10,2012,10,61.83,,996.54,4
2012-11,2012,11,61.96,,996.54,4
2012-12,2012,12,55.8,,996.54,3
2013-01,2013,1,55.4,,996.54,3
2013-02,2013,2,59.32,,996.54,4
2013-03,2013,3,56.35,,996.54,2
2013-04,2013,4,62.35,,996.54,4
2013-05,2013,5,61.51,,996.54,4
2013-06,2013,6,60.59,,996.54,4
2013-07,2013,7,60.5,,996.54,4
2013-08,2013,8,58.86,,996.54,4
2013-09,2013,9,48.25,,925.57,3
2013-10,2013,10,52.79,,925.57,3
2013-11,2013,11,53.45,,925.57,3
2013-12,2013,12,57.68,,925.57,4
2014-01,2014,1,58.59,,925.57,4
2014-02,2014,2,54.67,,925.57,3
2014-03,2014,3,42.08,,925.57,2
2014-04,2014,4,51.7,,925.57,4
2014-05,2014,5,53.67,,925.57,4
2014-06,2014,6,57.08,,925.57,4
2014-07,2014,7,56.18,104.67,925.57,4
2014-08,2014,8,57.84,102.98,925.57,4
2014-09,2014,9,54.41,,685.8,4
2014-10,2014,10,56.05,,685.8,4
2014-11,2014,11,54.68,,685.8,4
2014-12,2014,12,46.27,,685.8,3
2015-01,2015,1,47.11,,685.8,8
2015-02,2015,2,47.48,,685.8,8
2015-03,2015,3,45.32,,685.8,8
2015-04,2015,4,49.27,77.48,685.8,9
2015-05,2015,5,49.2,79.34,685.8,9
2015-06,2015,6,48.8,84.56,685.8,9
2015-07,2015,7,50.03,84.56,685.8,9
2015-08,2015,8,46.54,84.3,685.8,8
2015-09,2015,9,49.07,80.94,860.81,9
2015-10,2015,10,48.43,,860.81,9
2015-11,2015,11,49.84,,860.81,8
2015-12,2015,12,49.89,78.51,860.81,9
2016-01,2016,1,47.02,76.7,860.81,8
2016-02,2016,2,47.69,67.88,860.81,9
2016-03,2016,3,46.05,65.7,860.81,8
2016-04,2016,4,29.0,67.21,860.81,1
2016-05,2016,5,48.96,71.34,860.81,9
2016-06,2016,6,49.18,74.69,860.81,9
2016-07,2016,7,48.77,83.24,860.81,9
2016-08,2016,8,45.89,84.51,860.81,8
2016-09,2016,9,43.74,,881.76,8
2016-10,2016,10,48.44,82.12,881.76,8
2016-11,2016,11,48.6,82.17,881.76,8
2016-12,2016,12,48.81,87.2,881.76,8
2017-01,2017,1,52.86,84.23,881.76,8
2017-02,2017,2,55.83,89.26,881.76,9
2017-03,2017,3,59.76,90.44,881.76,9
2017-04,2017,4,63.07,88.62,881.76,9
2017-05,2017,5,66.99,88.05,881.76,9
2017-06,2017,6,68.54,,881.76,9
2017-07,2017,7,60.45,84.46,881.76,8
2017-08,2017,8,60.08,85.86,881.76,9
2017-09,2017,9,61.0,86.86,834.85,9
2017-10,2017,10,55.78,82.12,834.85,8
2017-11,2017,11,59.27,82.17,834.85,9
2017-12,2017,12,52.04,87.22,834.85,8
2018-01,2018,1,57.58,94.82,834.85,9
2018-02,2018,2,56.96,96.96,834.85,8
2018-03,2018,3,56.22,97.86,834.85,8
2018-04,2018,4,55.48,97.86,834.85,9
2018-05,2018,5,52.3,98.64,834.85,9
2018-06,2018,6,51.94,103.6,834.85,9
2018-07,2018,7,50.47,103.25,834.85,9
2018-08,2018,8,46.43,102.74,834.85,9
2018-09,2018,9,46.4,108.1,1546.53,9
2018-10,2018,10,46.71,109.72,1546.53,8
2018-11,2018,11,46.22,112.83,1546.53,9
2018-12,2018,12,47.16,112.28,1546.53,9
2019-01,2019,1,49.73,102.24,1546.53,7
2019-02,2019,2,52.61,95.96,1546.53,8
2019-03,2019,3,48.9,96.61,1546.53,7
2019-04,2019,4,52.79,102.13,1546.53,9
2019-05,2019,5,55.9,104.37,1546.53,9
2019-06,2019,6,55.44,104.72,1546.53,9
2019-07,2019,7,56.41,103.88,1546.53,8
2019-08,2019,8,58.46,100.6,1546.53,9
2019-09,2019,9,56.17,103.04,959.34,9
2019-10,2019,10,52.81,101.96,959.34,8
2019-11,2019,11,55.79,104.61,959.34,9
2019-12,2019,12,55.36,101.78,959.34,8
2020-01,2020,1,49.58,102.32,959.34,5
2020-02,2020,2,48.8,104.45,959.34,5
2020-03,2020,3,47.9,97.56,959.34,6
2020-04,2020,4,58.04,91.37,959.34,8
2020-05,2020,5,57.53,78.37,959.34,9
2020-06,2020,6,55.97,74.57,959.34,9
2020-07,2020,7,53.54,91.87,959.34,8
2020-08,2020,8,53.81,94.63,959.34,7
2020-09,2020,9,52.26,94.51,1526.45,8
2020-10,2020,10,53.99,92.91,1526.45,9
2020-11,2020,11,51.22,90.7,1526.45,8
2020-12,2020,12,52.73,91.82,1526.45,9
