county,year,rainfall_mm,temp_c
Bungoma,2010,1076.8,21.6
Bungoma,2011,1215.4,21.7
Bungoma,2012,1151.9,21.2
Bungoma,2013,1048.4,21.2
Bungoma,2014,834.5,21.8
Bungoma,2015,1032.3,22.1
Bungoma,2016,789.4,21.8
Bungoma,2017,986.0,22.2
Bungoma,2018,1394.3,20.6
Bungoma,2019,1251.9,22.0
Bungoma,2020,1711.3,20.9
Bungoma,2021,620.3,21.6
Bungoma,2022,884.2,22.2
Bungoma,2023,1517.6,21.8
Bungoma,2024,1124.1,22.1
Nakuru,2010,731.7,15.1
Nakuru,2011,656.5,15.6
Nakuru,2012,787.2,15.1
Nakuru,2013,740.3,15.0
Nakuru,2014,483.7,15.7
Nakuru,2015,703.4,15.7
Nakuru,2016,691.4,15.4
Nakuru,2017,645.2,16.0
Nakuru,2018,1503.9,14.3
Nakuru,2019,651.6,15.8
Nakuru,2020,1221.0,14.8
Nakuru,2021,762.6,14.7
Nakuru,2022,669.4,15.3
Nakuru,2023,788.0,15.6
Nakuru,2024,1478.7,15.3
Narok,2010,729.3,16.6
Narok,2011,618.8,17.6
Narok,2012,796.7,16.8
Narok,2013,764.2,16.5
Narok,2014,473.4,17.8
Narok,2015,450.6,18.0
Narok,2016,516.9,17.7
Narok,2017,344.3,18.8
Narok,2018,988.9,16.1
Narok,2019,499.2,18.8
Narok,2020,850.0,16.3
Narok,2021,464.9,17.3
Narok,2022,442.9,18.0
Narok,2023,435.4,18.2
Narok,2024,1001.2,17.0
Nyeri,2010,695.5,16.0
Nyeri,2011,592.4,16.5
Nyeri,2012,735.8,15.9
Nyeri,2013,677.5,15.8
Nyeri,2014,507.6,16.4
Nyeri,2015,765.6,16.3
Nyeri,2016,691.2,16.1
Nyeri,2017,659.7,16.5
Nyeri,2018,1417.8,15.0
Nyeri,2019,426.3,17.0
Nyeri,2020,918.8,15.7
Nyeri,2021,630.4,15.7
Nyeri,2022,777.4,16.1
Nyeri,2023,978.6,15.9
Nyeri,2024,1228.1,16.0
Trans Nzoia,2010,1241.9,16.8
Trans Nzoia,2011,1191.6,17.1
Trans Nzoia,2012,1225.6,16.7
Trans Nzoia,2013,1130.6,16.8
Trans Nzoia,2014,944.5,17.3
Trans Nzoia,2015,984.2,17.4
Trans Nzoia,2016,1295.7,17.3
Trans Nzoia,2017,1116.2,17.6
Trans Nzoia,2018,1815.1,16.4
Trans Nzoia,2019,1381.9,17.8
Trans Nzoia,2020,2225.8,16.8
Trans Nzoia,2021,885.7,17.1
Trans Nzoia,2022,1209.4,17.4
Trans Nzoia,2023,1576.2,17.4
Trans Nzoia,2024,1766.8,17.3
Uasin Gishu,2010,1194.3,18.6
Uasin Gishu,2011,1221.9,18.8
Uasin Gishu,2012,1282.1,18.3
Uasin Gishu,2013,1192.5,18.4
Uasin Gishu,2014,871.2,19.0
Uasin Gishu,2015,1228.7,19.2
Uasin Gishu,2016,1305.9,18.9
Uasin Gishu,2017,1257.7,19.3
Uasin Gishu,2018,2159.2,17.9
Uasin Gishu,2019,1545.0,19.5
Uasin Gishu,2020,2231.7,18.4
Uasin Gishu,2021,1063.3,18.8
Uasin Gishu,2022,1244.9,19.1
Uasin Gishu,2023,1674.6,19.1
Uasin Gishu,2024,1843.9,19.0
