county,year,month,rainfall_mm,temp_c
Trans Nzoia,2010,1,74.09,16.22
Trans Nzoia,2010,2,171.36,17.73
Trans Nzoia,2010,3,193.75,17.17
Trans Nzoia,2010,4,272.4,17.55
Trans Nzoia,2010,5,323.64,17.32
Trans Nzoia,2010,6,107.69999999999999,16.6
Trans Nzoia,2010,7,174.22,15.84
Trans Nzoia,2010,8,170.19,16.13
Trans Nzoia,2010,9,189.29999999999998,16.7
Trans Nzoia,2010,10,176.70000000000002,16.77
Trans Nzoia,2010,11,100.5,16.33
Trans Nzoia,2010,12,36.58,15.84
Trans Nzoia,2011,1,10.540000000000001,16.97
Trans Nzoia,2011,2,23.8,18.33
Trans Nzoia,2011,3,143.22,18.59
Trans Nzoia,2011,4,177.6,18.52
Trans Nzoia,2011,5,296.36,17.25
Trans Nzoia,2011,6,157.5,16.28
Trans Nzoia,2011,7,132.36999999999998,16.12
Trans Nzoia,2011,8,284.58,15.79
Trans Nzoia,2011,9,182.10000000000002,16.46
Trans Nzoia,2011,10,251.71999999999997,16.57
Trans Nzoia,2011,11,337.8,15.85
Trans Nzoia,2011,12,53.01,15.29
Trans Nzoia,2012,1,1.8599999999999999,15.45
Trans Nzoia,2012,2,20.009999999999998,17.05
Trans Nzoia,2012,3,37.82,18.64
Trans Nzoia,2012,4,368.7,17.42
Trans Nzoia,2012,5,269.08,16.69
Trans Nzoia,2012,6,184.8,16.07
Trans Nzoia,2012,7,133.29999999999998,15.61
Trans Nzoia,2012,8,231.88000000000002,15.95
Trans Nzoia,2012,9,216.6,16.45
Trans Nzoia,2012,10,191.89000000000001,16.59
Trans Nzoia,2012,11,224.4,16.45
Trans Nzoia,2012,12,146.63000000000002,16.23
Trans Nzoia,2013,1,37.82,16.58
Trans Nzoia,2013,2,8.12,17.56
Trans Nzoia,2013,3,172.67000000000002,18.92
Trans Nzoia,2013,4,315.9,17.2
Trans Nzoia,2013,5,191.27,16.98
Trans Nzoia,2013,6,75.3,16.28
Trans Nzoia,2013,7,118.73,15.67
Trans Nzoia,2013,8,256.68,15.86
Trans Nzoia,2013,9,230.39999999999998,16.74
Trans Nzoia,2013,10,210.49,16.46
Trans Nzoia,2013,11,151.2,16.28
Trans Nzoia,2013,12,86.49,15.77
Trans Nzoia,2014,1,8.06,16.59
Trans Nzoia,2014,2,34.44,18.02
Trans Nzoia,2014,3,80.28999999999999,18.81
Trans Nzoia,2014,4,103.8,18.65
Trans Nzoia,2014,5,248.92999999999998,17.68
Trans Nzoia,2014,6,122.69999999999999,16.86
Trans Nzoia,2014,7,163.06,16.25
Trans Nzoia,2014,8,225.68,15.8
Trans Nzoia,2014,9,149.1,16.8
Trans Nzoia,2014,10,301.01000000000005,16.82
Trans Nzoia,2014,11,126.0,16.41
Trans Nzoia,2014,12,61.07,15.96
Trans Nzoia,2015,1,1.24,16.0
Trans Nzoia,2015,2,28.28,18.59
Trans Nzoia,2015,3,64.78999999999999,19.16
Trans Nzoia,2015,4,226.2,17.66
Trans Nzoia,2015,5,218.85999999999999,17.34
Trans Nzoia,2015,6,220.2,16.72
Trans Nzoia,2015,7,134.23,16.54
Trans Nzoia,2015,8,119.97,17.14
Trans Nzoia,2015,9,137.10000000000002,17.88
Trans Nzoia,2015,10,166.16,17.91
Trans Nzoia,2015,11,220.5,16.95
Trans Nzoia,2015,12,147.56,16.61
Trans Nzoia,2016,1,67.27,17.17
Trans Nzoia,2016,2,15.66,18.31
Trans Nzoia,2016,3,69.13,20.01
Trans Nzoia,2016,4,334.8,18.5
Trans Nzoia,2016,5,255.13000000000002,17.09
Trans Nzoia,2016,6,217.20000000000002,16.23
Trans Nzoia,2016,7,239.01,15.91
Trans Nzoia,2016,8,180.42000000000002,16.18
Trans Nzoia,2016,9,167.7,16.92
Trans Nzoia,2016,10,100.75,17.05
Trans Nzoia,2016,11,103.5,16.65
Trans Nzoia,2016,12,15.81,16.79
Trans Nzoia,2017,1,53.94,17.56
Trans Nzoia,2017,2,97.44,18.48
Trans Nzoia,2017,3,104.78,19.38
Trans Nzoia,2017,4,103.5,18.87
Trans Nzoia,2017,5,251.1,17.53
Trans Nzoia,2017,6,114.3,17.37
Trans Nzoia,2017,7,242.73,16.27
