county,year,yield_bags_per_ha
Uasin Gishu,2019,36.0
Uasin Gishu,2020,47.4
Uasin Gishu,2021,40.9
Uasin Gishu,2022,39.0
Uasin Gishu,2023,44.9
Trans Nzoia,2019,44.5
Trans Nzoia,2020,51.8
Trans Nzoia,2021,42.3
Trans Nzoia,2022,39.8
Trans Nzoia,2023,39.8
Narok,2019,20.9
Narok,2020,19.3
Narok,2021,25.6
Narok,2022,23.7
Narok,2023,26.4
Bungoma,2019,37.1
Bungoma,2020,40.2
Bungoma,2021,32.1
Bungoma,2022,33.2
Bungoma,2023,26.7
Nakuru,2019,31.1
Nakuru,2020,35.3
Nakuru,2021,30.8
Nakuru,2022,35.9
Nakuru,2023,33.5
